2025-03-28 22:16:21 | INFO | [src.subparsers.downloadMusicList@download_music_from_xlsx] | Namespace(func=<function download_music_from_xlsx at 0x7fff2d447490>, file='/mnt/c/Users/zack0/Downloads/music-download-list.xlsx')
2025-03-28 22:18:08 | INFO | [src.subparsers.downloadMusicList@download_music_from_xlsx] | Namespace(func=<function download_music_from_xlsx at 0x7f4de1d07490>, file='/mnt/c/Users/zack0/Downloads/music-download-list.xlsx')
2025-03-28 22:18:17 | INFO | [src.subparsers.downloadMusicList@download_music_from_xlsx] | Namespace(func=<function download_music_from_xlsx at 0x7f4512c97400>, file='/mnt/c/Users/zack0/Downloads/music-download-list.xlsx')
2025-03-28 22:18:45 | INFO | [src.subparsers.downloadMusicList@download_music_from_xlsx] | Namespace(func=<function download_music_from_xlsx at 0x7ffcefad7400>, file='/mnt/c/Users/zack0/Downloads/music-download-list.xlsx')
2025-03-28 22:19:35 | INFO | [src.subparsers.downloadMusicList@download_music_from_xlsx] | Namespace(func=<function download_music_from_xlsx at 0x7f8d12327400>, file='/mnt/c/Users/zack0/Downloads/music-download-list.xlsx')
2025-03-28 22:21:53 | INFO | [src.subparsers.downloadMusicList@download_music_from_xlsx] | Namespace(func=<function download_music_from_xlsx at 0x7f177cd875b0>, file='/mnt/c/Users/zack0/Downloads/music-download-list.xlsx')
2025-03-28 22:21:53 | INFO | [src.subparsers.downloadMusicList@wrapper] | download_music_from_xlsx ran in 0.16s
2025-03-28 22:22:03 | INFO | [src.subparsers.downloadMusicList@download_music_from_xlsx] | Namespace(func=<function download_music_from_xlsx at 0x7f2ffbd975b0>, file='/mnt/c/Users/zack0/Downloads/music-download-list.xlsx')
2025-03-28 22:22:03 | ERROR | [src.subparsers.downloadMusicList@download_music_from_xlsx] | Error reading file /mnt/c/Users/zack0/Downloads/music-download-list.xlsx: Worksheet named 'music-download-lisdt' not found
2025-03-28 22:22:03 | INFO | [src.subparsers.downloadMusicList@wrapper] | download_music_from_xlsx ran in 0.12s
2025-03-28 22:25:02 | INFO | [src.subparsers.downloadMusicList@download_music_from_xlsx] | Namespace(func=<function download_music_from_xlsx at 0x7f6ac24b6ef0>, file='/mnt/c/Users/zack0/Downloads/music-download-list.xlsx')
2025-03-28 22:25:03 | ERROR | [src.subparsers.downloadMusicList@download_music_from_xlsx] | Error reading file /mnt/c/Users/zack0/Downloads/music-download-list.xlsx: Worksheet named 'music-download-lisdt' not found
2025-03-28 22:25:03 | INFO | [src.subparsers.downloadMusicList@wrapper] | download_music_from_xlsx ran in 0.13s
2025-03-28 22:26:36 | INFO | [src.subparsers.downloadMusicList@download_music_from_xlsx] | Namespace(func=<function download_music_from_xlsx at 0x7f474a8fae60>, file='/mnt/c/Users/zack0/Downloads/music-download-list.xlsx')
2025-03-28 22:26:36 | ERROR | [src.subparsers.downloadMusicList@download_music_from_xlsx] | Error reading file /mnt/c/Users/zack0/Downloads/music-download-list.xlsx: Worksheet named 'music-download-lisdt' not found
2025-03-28 22:26:36 | INFO | [src.subparsers.downloadMusicList@wrapper] | download_music_from_xlsx ran in 0.14s
2025-03-28 22:27:56 | INFO | [src.subparsers.downloadMusicList@download_music_from_xlsx] | Namespace(func=<function download_music_from_xlsx at 0x7f249fda6ef0>, file='/mnt/c/Users/zack0/Downloads/music-download-list.xlsx')
2025-03-28 22:27:56 | ERROR | [src.subparsers.downloadMusicList@download_music_from_xlsx] | Error reading file /mnt/c/Users/zack0/Downloads/music-download-list.xlsx: Worksheet named 'music-download-lisdt' not found
2025-03-28 22:27:56 | INFO | [src.subparsers.downloadMusicList@wrapper] | download_music_from_xlsx ran in 0.13s
2025-03-28 22:28:10 | INFO | [src.subparsers.downloadMusicList@download_music_from_xlsx] | Namespace(func=<function download_music_from_xlsx at 0x7f1a07966f80>, file='/mnt/c/Users/zack0/Downloads/music-download-list.xlsx')
2025-03-28 22:28:10 | INFO | [src.subparsers.downloadMusicList@wrapper] | download_music_from_xlsx ran in 0.15s
2025-03-28 22:29:35 | INFO | [src.subparsers.downloadMusicList@download_music_from_xlsx] | Namespace(func=<function download_music_from_xlsx at 0x7fd4e9556f80>, file='/mnt/c/Users/zack0/Downloads/music-download-list.xlsx')
2025-03-28 22:29:35 | INFO | [src.subparsers.downloadMusicList@wrapper] | download_music_from_xlsx ran in 0.15s
2025-03-28 22:33:17 | INFO | [src.subparsers.downloadMusicList@download_music_from_xlsx] | Namespace(func=<function download_music_from_xlsx at 0x7f18027c0160>, file='/mnt/c/Users/zack0/Downloads/music-download-list.xlsx')
